TIME	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
10	0	5	0	3	6	0	2	8	0	0	0	0	0	10	12
12	0	4	9	3	3	9	2	1	0	0	0	0	0	2	0
14	0	0	0	0	1	2	1	0	0	0	9	0	0	1	0
16	0	0	3	1	0	0	2	0	0	0	1	0	0	0	0
18	0	1	4	3	0	1	3	1	0	0	1	0	0	4	0
20	0	1	0	0	4	3	0	2	0	0	3	0	1	2	2
22	0	1	1	0	0	0	1	0	0	12	2	7	0	0	0
24	0	1	2	2	0	0	2	0	0	8	3	0	0	0	0
2	0	1	1	1	0	0	3	1	0	0	0	0	0	1	0
4	0	1	1	1	0	2	1	1	0	0	1	0	0	1	0
6	0	0	1	1	0	0	2	1	0	0	1	0	0	0	0
8	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0
10	0	1	3	3	0	0	0	2	0	0	0	0	0	1	0
12	0	1	5	1	0	8	10	5	0	0	1	0	0	5	0
14	0	0	2	3	0	0	2	0	0	0	0	0	0	6	0
16	0	0	3	4	0	3	3	1	0	0	0	0	0	2	0
18	0	3	3	3	15	4	5	2	0	0	0	0	0	0	0
20	0	1	3	1	3	0	1	0	2	8	0	0	4	3	0
22	0	0	1	3	2	1	4	0	8	17	1	15	9	0	0
24	14	0	0	4	0	0	1	0	7	0	9	1	0	2	0
2	0	1	2	0	0	1	1	2	5	0	0	0	0	1	0
4	0	0	1	0	0	3	2	0	0	0	0	0	0	2	0
6	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	2	0	0	0	3	0	4	0	1	0	0	0	5	0
12	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0
14	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0
16	0	0	0	6	0	0	5	0	0	1	4	0	0	0	0
18	0	1	0	8	13	0	10	0	0	13	0	0	0	4	0
20	2	3	9	1	9	1	5	2	1	8	7	0	0	2	2
22	14	0	1	0	2	0	3	0	11	4	2	11	16	0	12
24	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0
2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	2	0	0	0	4	0	2	0	0	0	4	0
10	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0
12	0	0	0	2	0	0	0	0	0	0	4	0	0	2	0
14	0	3	0	2	0	0	15	0	0	0	3	0	0	0	0
16	0	3	0	3	0	0	3	5	0	0	2	0	0	4	0
18	0	1	12	1	0	0	1	0	0	0	1	0	0	0	0
20	3	0	1	2	0	1	1	3	9	4	0	1	2	2	0
22	0	0	0	3	0	17	2	0	0	17	0	15	9	0	0
24	0	0	0	2	0	0	2	0	9	0	0	0	0	2	0
2	0	0	3	0	0	1	0	1	0	0	0	0	0	1	0
4	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
10	0	0	4	0	0	0	8	5	0	0	0	0	0	2	0
12	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0
14	1	0	5	2	0	0	0	0	1	6	0	0	0	0	0
16	0	0	2	3	0	0	0	3	6	0	0	0	0	3	0
18	0	0	3	6	0	0	9	1	0	3	0	8	0	0	0
20	1	0	3	0	0	0	0	0	2	2	0	7	20	2	1
22	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0
24	5	9	2	0	0	0	6	4	0	2	0	0	0	0	0
2	0	0	0	2	0	0	0	0	0	2	0	0	0	2	0
4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0
10	0	0	0	0	0	0	9	1	0	4	0	0	0	3	0
12	0	0	0	0	0	0	0	4	0	2	0	0	0	1	0
14	0	0	0	8	27	0	1	3	4	4	0	0	8	2	12
16	0	0	0	2	5	1	0	0	4	0	3	0	3	4	8
18	0	0	0	1	0	1	9	1	1	6	10	1	0	0	11
20	10	0	0	2	0	0	0	1	3	1	0	13	0	2	2
22	7	0	0	1	0	0	1	0	1	5	0	0	0	1	5
24	0	0	9	3	0	0	0	0	0	1	0	0	0	0	0
2	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0
4	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
10	0	0	0	0	0	0	0	3	0	6	0	0	11	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	9	12	18	0	0	11	5	4	0	0	0	5	6	0
16	0	2	0	2	0	11	4	0	4	7	0	12	2	2	0
18	0	0	0	2	0	0	0	1	6	3	0	1	1	1	0
20	0	0	0	0	0	14	1	0	0	2	0	1	0	1	0
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4	0	0	0	2	0	0	0	1	0	2	0	0	2	0	0
6	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0
8	0	0	0	5	0	0	3	0	0	3	1	0	1	1	0
10	0	0	0	3	0	0	6	4	0	2	4	0	2	1	0
12	0	0	17	4	0	0	1	0	0	2	0	0	2	2	0
14	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
16	0	0	0	1	0	0	6	1	0	2	3	2	2	2	0
18	0	0	0	0	0	0	0	0	2	8	0	0	0	1	0
20	0	0	0	0	0	0	0	0	0	3	0	0	0	2	2
22	0	0	0	2	0	0	0	0	0	3	0	0	0	1	0
24	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	5	0	1	5	0
8	0	0	0	0	0	0	9	0	0	1	0	0	7	3	0
10	7	7	0	0	0	0	2	0	6	2	6	0	0	2	0
12	0	0	0	2	0	0	0	0	1	0	0	8	5	1	0
14	2	4	0	4	0	0	0	0	5	0	0	2	0	2	8
16	0	0	15	4	0	0	0	0	0	0	0	1	0	4	14
18	0	0	0	0	0	0	0	0	0	8	0	4	5	2	0
20	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0
22	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
24	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
2	0	11	0	0	0	0	0	0	0	2	2	2	0	0	0
4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0
8	0	0	0	0	0	0	0	0	1	0	4	0	0	3	0
10	0	0	0	0	0	0	0	9	5	3	4	7	0	6	10
12	0	0	11	0	0	0	0	0	2	0	0	1	0	9	3
14	0	8	0	0	0	8	0	0	4	1	0	0	0	5	0
16	7	0	0	8	0	0	0	0	0	6	0	1	0	0	4
18	0	6	0	0	0	0	0	0	0	5	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0
22	0	3	0	0	0	0	0	0	0	4	1	9	0	0	0
