TIME	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18
10	4	7	1	0	3	0	0	1	0	4	3	0	0	0	0	2	0	2
12	4	0	0	0	0	0	0	0	3	0	1	8	0	0	4	1	0	0
14	0	2	0	2	5	0	11	0	3	0	2	0	0	0	1	0	0	2
16	1	0	0	7	5	3	2	0	2	0	0	0	0	0	2	2	0	0
18	3	2	0	1	1	1	1	0	2	1	4	0	0	0	1	3	0	4
20	0	0	1	7	6	4	0	4	1	0	7	3	3	0	0	3	15	0
22	1	2	0	2	1	2	2	0	2	0	0	0	5	13	4	2	8	1
24	2	0	0	1	0	0	1	0	1	5	1	9	6	6	2	1	1	2
2	1	0	0	4	0	2	1	0	1	4	0	0	6	0	2	0	0	1
4	2	0	0	3	1	3	2	0	2	1	2	4	1	0	1	1	0	0
6	0	2	8	2	3	2	1	0	1	3	4	4	0	0	5	4	0	0
8	4	0	0	1	0	0	6	0	0	3	0	2	0	0	3	4	0	5
10	0	4	0	3	2	1	3	0	3	0	1	0	0	0	0	1	0	1
12	7	4	0	4	3	1	2	0	0	0	1	0	0	0	6	3	0	3
14	0	0	0	4	6	2	3	0	0	0	0	0	0	0	0	2	0	2
16	0	3	0	1	1	0	1	0	6	6	0	0	0	0	4	2	0	8
18	0	0	0	2	1	8	2	0	4	6	0	0	0	0	0	4	0	2
20	3	3	0	4	5	1	5	0	1	5	0	1	0	13	5	3	3	2
22	3	0	0	4	1	1	0	5	2	6	0	0	8	8	3	2	18	0
24	2	0	1	0	1	0	2	3	2	3	0	0	2	3	1	1	0	5
2	3	0	14	4	1	5	0	0	3	5	0	0	2	0	4	1	0	0
4	2	1	8	2	2	1	0	0	0	3	0	0	0	0	3	1	0	4
6	2	0	0	1	3	0	0	0	1	0	0	0	0	0	0	1	0	0
8	3	2	0	1	0	2	0	0	5	3	0	0	0	0	0	1	0	4
10	5	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0
12	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
14	3	3	0	0	7	0	2	0	0	0	0	0	0	0	6	0	0	2
16	6	6	0	6	0	0	4	0	0	0	0	0	0	0	0	0	0	2
18	2	1	0	4	6	0	2	0	9	1	0	0	0	0	1	4	1	4
20	6	1	0	4	0	0	5	0	1	0	0	0	0	1	2	3	4	2
22	11	3	0	1	1	10	0	4	2	18	0	0	15	18	4	3	15	0
24	0	0	0	2	0	14	2	4	2	2	0	0	0	0	1	2	4	2
2	2	0	15	1	3	5	0	0	2	0	13	0	0	0	0	1	0	2
4	1	0	0	0	0	1	0	0	0	0	0	0	6	0	3	2	0	1
6	1	0	0	0	2	1	2	0	3	1	5	0	0	0	1	0	0	1
8	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1
10	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
14	5	0	0	0	8	0	3	0	6	0	0	1	0	0	6	0	0	0
16	3	4	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	6
18	2	4	2	0	2	0	1	0	4	0	2	0	0	4	3	3	0	0
20	1	0	0	4	2	0	1	0	1	0	0	0	0	22	1	1	0	2
22	1	2	7	2	1	0	1	12	1	15	0	0	10	2	1	2	16	2
24	0	2	9	0	2	0	3	0	0	0	0	0	5	0	0	2	0	0
2	1	0	0	4	4	10	0	0	0	1	0	0	1	4	2	0	0	1
4	0	0	0	0	0	7	0	0	0	3	10	0	0	0	3	0	0	0
6	2	1	0	0	0	1	0	0	0	0	3	0	0	0	2	0	0	2
8	3	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1
10	0	0	0	1	2	0	3	0	0	0	0	0	0	0	1	0	0	0
12	1	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	4
14	1	0	0	0	1	0	0	0	0	0	0	0	0	10	1	4	12	1
16	14	0	0	0	5	0	1	0	0	0	0	19	0	1	0	3	0	2
18	2	2	0	0	3	0	0	8	8	5	0	0	0	0	2	2	0	0
20	2	1	5	6	0	0	0	0	5	2	0	21	5	2	0	0	0	1
22	2	0	0	1	2	8	4	0	2	2	0	0	2	7	4	0	9	6
24	0	0	0	2	1	0	3	0	4	1	13	0	0	0	0	1	0	1
2	0	1	0	0	0	1	3	0	0	2	1	0	0	0	3	1	0	0
4	3	1	4	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0
6	4	0	2	1	1	3	0	0	0	0	0	0	0	0	3	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	4
10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	2
12	4	4	0	3	0	0	4	0	0	0	0	0	0	14	0	2	0	1
14	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	1	0	1
16	2	0	0	0	0	0	2	0	0	0	0	0	0	5	2	3	0	7
18	4	0	0	0	0	0	0	4	0	0	0	0	0	0	4	4	11	2
20	0	0	0	0	0	0	1	4	0	7	0	0	10	0	0	1	1	0
22	0	6	0	5	0	5	7	5	0	8	0	0	5	0	2	2	0	0
24	3	1	0	0	0	4	2	0	1	0	15	0	0	7	2	0	0	0
2	0	2	16	3	0	5	0	0	8	3	0	0	0	2	1	2	0	0
4	3	0	0	0	0	1	2	0	1	0	0	0	0	0	4	1	0	1
6	0	0	0	0	0	1	2	0	5	0	0	0	0	0	0	2	0	0
8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1	0	2	4	0	3	0	0	0	0	0	0	3	6	1	5	0	0
12	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0
14	9	3	5	1	5	0	13	0	0	4	10	1	4	4	9	0	0	6
16	4	3	0	1	8	0	3	5	0	0	0	0	0	3	1	4	10	2
18	1	0	0	1	15	0	2	1	3	8	0	11	0	0	1	0	0	1
20	2	0	0	2	5	0	3	3	2	0	0	15	0	2	2	1	0	8
22	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	3	0
24	5	6	0	0	1	0	4	1	0	0	0	0	0	2	3	3	8	0
2	0	1	0	1	0	0	0	0	0	0	0	0	6	0	0	1	0	0
4	0	4	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0
6	0	0	0	6	0	5	7	0	0	0	0	0	0	0	4	0	0	0
8	0	0	5	0	0	5	3	0	2	0	0	0	0	0	0	0	0	0
10	5	0	8	1	0	2	2	0	8	0	0	0	7	9	0	0	0	0
12	4	1	0	0	0	0	2	0	2	0	0	0	0	0	6	0	3	0
14	0	1	0	1	0	0	5	0	0	0	6	0	0	0	3	5	8	0
16	0	0	5	0	0	0	1	1	4	0	1	0	2	7	0	0	2	0
18	6	5	0	1	0	0	1	1	0	0	0	0	4	0	0	0	1	0
20	0	0	0	3	0	0	2	0	0	0	0	0	0	1	0	0	0	1
22	2	0	6	1	0	0	1	3	0	0	0	0	0	2	2	1	3	5
24	3	7	0	1	0	0	0	1	0	0	0	0	0	7	4	0	3	0
2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	2	0	2	0
4	3	0	2	0	0	2	0	0	0	0	0	0	4	0	4	0	0	0
6	3	4	0	2	0	3	0	0	0	20	0	0	3	0	0	0	0	0
8	2	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0
10	0	0	0	0	0	1	0	0	0	3	9	0	0	0	1	2	0	11
12	0	3	0	0	0	0	0	0	5	0	1	0	0	0	3	0	0	1
14	5	3	0	3	0	0	2	0	7	0	0	23	4	0	0	0	1	1
16	0	3	5	0	0	14	0	1	0	0	0	0	2	10	0	0	10	0
18	0	0	0	0	6	0	7	14	0	2	5	0	1	1	1	0	0	1
20	0	0	0	0	0	0	10	2	2	0	0	7	1	0	0	5	0	2
22	0	3	0	0	0	5	0	0	1	0	0	0	0	0	0	3	0	3
24	0	6	0	0	0	0	0	0	2	0	3	0	0	0	2	1	0	1
2	0	0	6	0	0	0	0	0	0	0	0	0	4	8	9	0	0	0
4	0	0	1	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0
6	0	1	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0
8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	3	0	3	0	0	3	0	7	0	0	0	0	0
12	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
14	0	6	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	6	1	4	0	3	3	0	6	0	3	8	0	5	0	1
18	7	0	0	0	0	0	11	3	2	0	1	0	1	2	12	7	14	12
20	2	0	0	0	0	0	0	1	0	10	0	0	1	2	0	0	0	1
22	10	0	0	1	0	2	0	4	2	0	0	0	3	3	0	5	0	0
24	0	0	12	2	0	5	11	1	9	5	0	1	2	4	0	3	0	0
2	0	0	3	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	5	3
6	0	0	0	0	15	0	0	0	0	0	9	14	2	0	0	0	2	2
8	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	2	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0
12	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
16	0	0	0	7	0	0	0	2	0	9	1	0	0	7	4	0	3	0
18	1	0	0	0	0	0	0	6	0	8	0	0	6	3	10	9	10	12
20	10	0	0	0	0	7	0	0	7	0	0	0	0	0	0	0	0	1
22	0	0	0	0	0	7	0	1	1	7	0	0	0	0	0	0	0	0
24	0	2	0	0	0	7	24	4	0	1	0	13	2	0	0	8	0	0
2	0	0	4	0	0	0	1	0	0	0	0	0	1	4	0	0	0	0
4	0	0	10	0	15	0	0	3	0	6	4	0	1	7	0	0	0	0
6	0	6	0	0	9	1	0	1	5	0	3	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	8	3	0	5	0	0	0
